tipoAss;tipoDeContrato;codigoDaPessoa;codigoTipoAssinatura;dataDeValidadeInicial;dataDevalidadeFinal;qtdJornaisContrato;numeroDeExemplares;numeroDeExemplaresEntregues;numeroDeExemplaresPagos;valorTotal;valorDoDescontoConcedido;quantidadeDeParcelasDoContrato;precoMedioB30;valorTipoDaAssinatura;codigoDoPlanoDePagamento;descricaoDoProdutoServico;descricaoTipoDeAssinatura;quantidadeDeDias;quantidadeDeExemplares;descricaoDoPlanoDePagamento;nomeDoMunicipio;mesRenovou;mesRenovara;precoFaixa;modalidade;cidadeEntrega;idRenovacaoAutomatica;latitude;longitude;codigoDoMunicipio;codigoDoSetorDeEntrega;nomeDoBairro;sexo;Tipo;Idade;Tempo;Status;codigoDaPessoa
Impressa;R;170807;5;01/01/2023 00:00;24/05/2024 00:00;1;261;222;210;780;252;12;65;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2022/11;2024/05;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;22;Jardim Aclimação;M;F;78;18;1;7
Impressa;I;61348;5;17/01/2023 00:00;04/05/2024 00:00;1;261;236;252;984;48;12;82;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/01;2024/05;05 de R$ 80 a R$ 84.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;23;Centro;M;F;72;26;1;19
Combo;I;30469;12;11/02/2023 00:00;27/04/2024 00:00;1;104;100;96;458,8;181,2;12;38,23333333;468;226;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/02;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20.8235639;-49.3608344;9659;11;Parque Residencial Comendador Mancor Daud;M;F;72;26;1;19
Combo;I;30469;11;14/02/2023 00:00;06/05/2024 00:00;1;156;146;155;20;0;12;1,666666667;780;233;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/02;2024/05;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20.8235639;-49.3608344;9659;11;Parque Residencial Comendador Mancor Daud;M;F;56;26;1;56
Impressa;R;58470;5;19/02/2023 00:00;02/04/2024 00:00;1;261;264;252;984;48;12;82;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/01;2024/04;05 de R$ 80 a R$ 84.99;Anual;São José do Rio Preto;VERDADEIRO;-20,812746;-49,340061;9659;55;Residencial Marcia;F;F;86;23;1;97
Impressa;R;19179;5;05/03/2023 00:00;03/04/2024 00:00;1;261;261;252;864;168;12;72;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/01;2024/04;07 de R$ 70 a R$ 74.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8430147;-49.4087195;9659;22;Jardim Tarraf;M;F;54;23;1;135
Impressa;R;160431;5;07/03/2023 00:00;06/04/2024 00:00;1;261;258;261;1032;0;1;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;22;Jardim Redentor;M;F;54;23;1;135
Combo;I;5173;12;11/03/2023 00:00;06/04/2024 00:00;1;104;104;96;458,8;181,2;12;38,23333333;468;226;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,778696;-49,370666;9659;51;Jardim Seyon;M;F;45;16;1;142
Impressa;R;56759;5;15/03/2023 00:00;24/04/2024 00:00;1;261;248;256;1032;0;8;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,812683;-49,347257;9659;55;Parque Residencial Damha;F;F;64;17;1;199
Impressa;R;38633;5;15/03/2023 00:00;23/04/2024 00:00;1;261;252;241;792;240;12;66;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8093091;-49.3544504;9659;55;Parque Residencial Damha;F;F;64;17;1;199
Impressa;R;11335;5;16/03/2023 00:00;23/04/2024 00:00;1;261;249;261;1032;0;1;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20.8248892;-49.3923082;9659;22;Vila São José;M;F;61;27;1;230
Impressa;I;27612;5;21/03/2023 00:00;24/04/2024 00:00;1;261;248;231;1032;96;12;86;1251,75;230;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Palestina;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;Palestina;VERDADEIRO;-20.3899356;-49.4401491;9441;351;A DEFINIR;M;F;54;23;1;252
